StateID,ActID,RewardID,NextStateID,Done,CostID,StateIdMod,ActIdMod,RewardIdMod,NextStateIdMod,CostIdMod
"[44, 39]",[91],[103],"[44, 40]",[False],[0],"[0.00407144000000003, 0.008468870000000022]",[0.0008543400000000766],[0.0022516441345215073],"[0.00567868000000004, 0.0031975400000000126]",[0.0]
"[44, 40]",[96],[102],"[44, 40]",[False],[0],"[0.00567868000000004, 0.0031975400000000126]",[0.00374610000000003],[0.005438976287841731],"[0.007971959999999993, 0.0066039499999999834]",[0.0]
"[44, 40]",[101],[102],"[45, 40]",[False],[0],"[0.007971959999999993, 0.0066039499999999834]",[0.008604959999999983],[0.0013691711425780594],"[0.0007371400000000267, 0.00863884999999999]",[0.0]
"[45, 40]",[103],[101],"[45, 41]",[False],[0],"[0.0007371400000000267, 0.00863884999999999]",[0.0025162400000000636],[0.007995071411132747],"[0.003809300000000017, 0.00032590000000001264]",[0.0]
"[45, 41]",[88],[100],"[45, 41]",[False],[0],"[0.003809300000000017, 0.00032590000000001264]",[0.0020444800000000013],[0.007097244262695292],"[0.007352000000000027, 0.0057747200000000335]",[0.0]
"[45, 41]",[100],[100],"[46, 41]",[False],[0],"[0.007352000000000027, 0.0057747200000000335]",[0.004551630000000119],[0.00232486724853518],"[0.001603250000000011, 0.008160929999999978]",[0.0]
"[46, 41]",[99],[99],"[46, 42]",[False],[0],"[0.001603250000000011, 0.008160929999999978]",[0.009168450000000076],[0.0072832679748536504],"[0.0062434000000000205, 0.0006818500000000151]",[0.0]
"[46, 42]",[88],[98],"[47, 42]",[False],[0],"[0.0062434000000000205, 0.0006818500000000151]",[0.005951390000000098],[0.006580848693847747],"[0.001437900000000011, 0.006032920000000028]",[0.0]
"[47, 42]",[103],[98],"[47, 42]",[False],[0],"[0.001437900000000011, 0.006032920000000028]",[0.009978920000000007],[0.0035797309875487855],"[0.007283260000000033, 0.0075335199999999915]",[0.0]
"[47, 42]",[84],[97],"[48, 43]",[False],[0],"[0.007283260000000033, 0.0075335199999999915]",[0.0072381400000000665],[0.0009416389465331607],"[0.0036256000000000344, 0.003852569999999984]",[0.0]
"[48, 43]",[104],[96],"[49, 43]",[False],[0],"[0.0036256000000000344, 0.003852569999999984]",[0.007182910000000056],[0.008300819396972747],"[0.0007124300000000226, 0.005172930000000004]",[0.0]
"[49, 43]",[90],[95],"[49, 44]",[False],[0],"[0.0007124300000000226, 0.005172930000000004]",[0.004559060000000063],[0.00852880477905287],"[0.00820074000000002, 5.90799999999822e-05]",[0.0]
"[49, 44]",[90],[94],"[50, 44]",[False],[0],"[0.00820074000000002, 5.90799999999822e-05]",[0.006801810000000134],[0.008868846893310505],"[0.006467720000000055, 0.004888959999999991]",[0.0]
"[50, 44]",[100],[94],"[51, 44]",[False],[0],"[0.006467720000000055, 0.004888959999999991]",[0.007406980000000042],[0.0042392349243163645],"[0.005373430000000011, 0.007203769999999991]",[0.0]
"[51, 44]",[84],[93],"[52, 45]",[False],[0],"[0.005373430000000011, 0.007203769999999991]",[0.00690371000000007],[0.001584358215332123],"[0.0048635000000000275, 0.003531160000000035]",[0.0]
"[52, 45]",[86],[91],"[53, 45]",[False],[0],"[0.0048635000000000275, 0.003531160000000035]",[0.003519350000000112],[0.00976032257080074],"[0.005343800000000025, 0.009443229999999971]",[0.0]
"[53, 45]",[94],[91],"[54, 46]",[False],[0],"[0.005343800000000025, 0.009443229999999971]",[0.006093410000000004],[0.0020650291442872015],"[0.006659900000000076, 0.0032908199999999825]",[0.0]
"[54, 46]",[97],[90],"[55, 46]",[False],[0],"[0.006659900000000076, 0.0032908199999999825]",[0.0039517400000000456],[0.0057626724243164985],"[0.008554549999999972, 0.006442000000000014]",[0.0]
"[55, 46]",[98],[90],"[57, 46]",[False],[0],"[0.008554549999999972, 0.006442000000000014]",[0.0060839300000000325],[6.685256958017041e-05],"[0.0009371199999999528, 0.009290030000000015]",[0.0]
"[57, 46]",[87],[88],"[58, 47]",[False],[0],"[0.0009371199999999528, 0.009290030000000015]",[0.007983850000000103],[0.008965988159179691],"[0.003919599999999971, 0.004840420000000031]",[0.0]
"[58, 47]",[91],[87],"[59, 47]",[False],[0],"[0.003919599999999971, 0.004840420000000031]",[0.0011121100000001227],[0.00952165603637698],"[0.007745920000000029, 0.00956264999999997]",[0.0]
"[59, 47]",[89],[86],"[61, 48]",[False],[0],"[0.007745920000000029, 0.00956264999999997]",[0.008291260000000128],[0.009436168670654301],"[0.0023448300000000494, 0.0046052099999999985]",[0.0]
"[61, 48]",[79],[85],"[62, 49]",[False],[0],"[0.0023448300000000494, 0.0046052099999999985]",[0.004224800000000048],[0.004147434234619234],"[0.007889420000000019, 0.002249739999999981]",[0.0]
"[62, 49]",[93],[84],"[64, 49]",[False],[0],"[0.007889420000000019, 0.002249739999999981]",[0.009521820000000044],[0.006123504638671902],"[0.004463259999999969, 0.0062616100000000095]",[0.0]
"[64, 49]",[95],[83],"[66, 49]",[False],[0],"[0.004463259999999969, 0.0062616100000000095]",[0.007861010000000104],[0.00901653289794929],"[0.0016546800000000368, 0.009815119999999991]",[0.0]
