State_Center,Act_Center,Reward_Center,NextState_Center,Done,Cost_Center,Weight,Probability
"[-0.345, 0.065]",[0.46499999999999997],[1.015],"[-0.33499999999999996, 0.04499999999999998]",False,[50.0],1,0.041666666666666664
"[-0.33499999999999996, 0.04499999999999998]",[0.42499999999999993],[1.035],"[-0.33499999999999996, 0.03499999999999997]",False,[50.0],1,0.034482758620689655
"[-0.32499999999999996, 0.02500000000000002]",[0.6049999999999999],[1.095],"[-0.32499999999999996, 0.005]",False,[50.0],1,0.043478260869565216
"[-0.33499999999999996, -0.03499999999999998]",[0.245],[1.195],"[-0.33499999999999996, -0.04499999999999999]",False,[50.0],1,0.03225806451612903
"[-0.405, 0.09499999999999997]",[0.17499999999999993],[0.945],"[-0.385, 0.08500000000000002]",False,[50.0],1,0.05555555555555555
"[-0.385, 0.08500000000000002]",[0.32499999999999984],[0.955],"[-0.375, 0.07500000000000001]",False,[50.0],1,0.058823529411764705
"[-0.33499999999999996, 0.02500000000000002]",[0.535],[1.095],"[-0.32499999999999996, 0.005]",False,[50.0],1,0.021739130434782608
"[-0.375, 0.054999999999999986]",[-0.025000000000000026],[1.065],"[-0.375, 0.054999999999999986]",False,[50.0],1,0.03333333333333333
"[-0.395, 0.07500000000000001]",[0.255],[0.955],"[-0.385, 0.065]",False,[50.0],1,0.03571428571428571
"[-0.355, -0.025000000000000026]",[0.035000000000000024],[1.145],"[-0.355, -0.03499999999999998]",False,[50.0],1,0.014925373134328358
"[-0.41500000000000004, 0.08500000000000002]",[0.035000000000000024],[0.895],"[-0.405, 0.08500000000000002]",False,[50.0],1,0.05555555555555555
"[-0.405, 0.08500000000000002]",[0.20499999999999996],[0.905],"[-0.385, 0.07500000000000001]",False,[50.0],1,0.05555555555555555
"[-0.365, 0.065]",[0.485],[0.955],"[-0.355, 0.04499999999999998]",False,[50.0],1,0.03225806451612903
"[-0.465, -0.015000000000000017]",[-0.755],[1.105],"[-0.47500000000000003, 0.005]",False,[50.0],1,0.034482758620689655
"[-0.47500000000000003, 0.005]",[-0.745],[1.065],"[-0.465, 0.02500000000000002]",False,[50.0],1,0.08333333333333333
"[-0.41500000000000004, 0.09499999999999997]",[0.20499999999999996],[0.945],"[-0.405, 0.08500000000000002]",False,[50.0],1,0.0625
"[-0.405, 0.08500000000000002]",[0.29500000000000004],[0.955],"[-0.395, 0.07500000000000001]",False,[50.0],1,0.05555555555555555
"[-0.375, 0.07500000000000001]",[0.505],[0.995],"[-0.365, 0.054999999999999986]",False,[50.0],1,0.03333333333333333
"[-0.385, 0.054999999999999986]",[0.18499999999999994],[1.055],"[-0.385, 0.04499999999999998]",False,[50.0],1,0.03333333333333333
"[-0.385, 0.04499999999999998]",[0.22499999999999998],[1.065],"[-0.375, 0.03499999999999997]",False,[50.0],1,0.02857142857142857
"[-0.345, -0.005000000000000009]",[0.10499999999999987],[1.175],"[-0.355, -0.015000000000000017]",False,[50.0],1,0.009708737864077669
"[-0.375, 0.04499999999999998]",[0.07499999999999984],[1.045],"[-0.375, 0.03499999999999997]",False,[50.0],1,0.02564102564102564
