State,Act,Reward,NextState,Done,Cost,Weight,Probability
"[-0.44436269656250005, 0.0522933390625]",[-0.80557248015625],[0.9658944278955459],"[-0.4349216371875, 0.07243266484375]",False,[0.0],7,0.30434782608695654
"[-0.40318982999999997, 0.12267927875000001]",[-0.49275579375],[0.8268904209136965],"[-0.38290413, 0.13499811375000004]",False,[0.0],4,0.3333333333333333
"[-0.33873063, 0.16608882000000003]",[-0.38678373],[0.7129637718200684],"[-0.31164062, 0.17575848000000002]",False,[0.0],1,0.08333333333333333
"[-0.20049477, 0.15938783]",[0.5048003400000001],[0.770945167541504],"[-0.1756658, 0.14676785000000003]",False,[0.0],1,0.14285714285714285
"[-0.1756658, 0.14676785000000003]",[0.6525671400000002],[0.8035735130310059],"[-0.15305305, 0.13045359]",False,[0.0],1,1.0
"[-0.15305305, 0.13045359]",[0.70821635],[0.8389843940734865],"[-0.13312477, 0.11274815]",False,[0.0],1,0.5
"[-0.13312477, 0.11274815]",[0.8881687300000001],[0.8833928108215332],"[-0.11626929000000001, 0.09054399000000002]",False,[0.0],1,1.0
"[-0.11626929000000001, 0.09054399000000002]",[0.8947412400000001],[0.9281298637390136],"[-0.10297524999999999, 0.06817544]",False,[0.0],1,1.0
"[-0.10297524999999999, 0.06817544]",[0.7450978700000002],[0.9653847694396973],"[-0.09306061000000002, 0.049547909999999994]",False,[0.0],1,1.0
"[-0.09306061000000002, 0.049547909999999994]",[0.7090005500000001],[1.0008347511291504],"[-0.08607829000000002, 0.03182291999999999]",False,[0.0],1,0.5
"[-0.08607829000000002, 0.03182291999999999]",[0.9000129000000001],[1.0458353996276857],"[-0.08218664000000005, 0.009322640000000002]",False,[0.0],1,1.0
"[-0.08218664000000005, 0.009322640000000002]",[0.6724317900000001],[1.0794569969177246],"[-0.08159155000000003, -0.0074881300000000026]",False,[0.0],1,1.0
"[-0.08159155000000003, -0.0074881300000000026]",[0.6992623600000001],[1.114420127868652],"[-0.08372200000000003, -0.0249697]",False,[0.0],1,1.0
"[-0.08372200000000003, -0.0249697]",[0.6001916200000001],[1.1444296836853027],"[-0.08851743000000002, -0.03997451]",False,[0.0],1,1.0
"[-0.08851743000000002, -0.03997451]",[0.56460252],[1.1726598739624023],"[-0.09566611, -0.05408955]",False,[0.0],1,1.0
"[-0.17474370999999997, -0.09570312]",[0.02383391000000005],[1.2570788383483888],"[-0.19008797, -0.09629899]",False,[0.0],1,0.16666666666666666
"[-0.2059759503125, -0.054372607363281256]",[0.5836244551367189],[1.2499850118532778],"[-0.2154537090429688, -0.06896313595703125]",False,[0.0],10,0.7142857142857143
"[-0.218428395, -0.08056068999999999]",[0.5127615750000001],[1.2957260489463807],"[-0.232001745, -0.09337973625000001]",False,[0.0],4,0.2
"[-0.23424624272369385, -0.060355859584712984]",[0.6901760511650468],[1.2503429219583269],"[-0.24482342224122997, -0.0776102519348526]",False,[0.0],20,0.6666666666666666
"[-0.24456396722445004, -0.05875301384951591]",[0.5748797548148394],[1.2701890026532057],"[-0.2547309644274902, -0.0731250154192257]",False,[0.0],22,0.6875
"[-0.25320002660484314, -0.05949521466035844]",[0.6765017360818768],[1.2729924472021596],"[-0.263621287563324, -0.07640774994720459]",False,[0.0],21,0.5833333333333334
"[-0.2616098, -0.04290116]",[-0.54718772],[1.122923755645752],"[-0.26774436, -0.02922153]",False,[0.0],1,0.021739130434782608
"[-0.26774436, -0.02922153]",[-0.5097996],[1.0974337577819822],"[-0.27174014, -0.01647651]",False,[0.0],1,0.1
"[-0.27174014, -0.01647651]",[-0.57094061],[1.0688867568969727],"[-0.27361512, -0.002202990000000002]",False,[0.0],1,0.08333333333333333
"[-0.275370785, -0.0024443000000000034]",[-0.1765294325],[1.1454166412353515],"[-0.27552645750000004, 0.0019689794350000057]",False,[0.0],3,0.125
"[-0.27346593, 0.007201670000000002]",[-0.31591442],[1.034281635284424],"[-0.2718925, 0.015099529999999996]",False,[0.0],1,0.03225806451612903
"[-0.2718925, 0.015099529999999996]",[-0.31499235],[1.0185319900512695],"[-0.26905656, 0.022974370000000015]",False,[0.0],1,0.09090909090909091
"[-0.26693753, 0.026094555000000012]",[0.03591784000000007],[1.0714702606201172],"[-0.26281029, 0.025196610000000015]",False,[0.0],2,0.09523809523809523
"[-0.26509798, 0.02827477000000001]",[-0.19105922],[0.9983783721923829],"[-0.2603193, 0.03305124999999999]",False,[0.0],1,0.047619047619047616
"[-0.2603193, 0.03305124999999999]",[-0.2973819],[0.9835092544555665],"[-0.25463456, 0.04048574]",False,[0.0],1,0.024390243902439025
"[-0.41486987876953124, -0.008836845886230467]",[-0.9475287890258789],[1.0761861568316817],"[-0.4150276090161133, 0.01471624243652343]",False,[0.0],13,0.34210526315789475
"[-0.41521722546875, 0.014041175742187492]",[-0.969056270625],[1.0422958064824344],"[-0.4116979909375, 0.037903299296875]",False,[0.0],9,0.21428571428571427
"[-0.41281078140625, 0.037235536250000006]",[-0.9928807396875001],[0.9797926113009454],"[-0.405554224375, 0.06158918859375]",False,[0.0],7,0.22580645161290322
"[-0.40625896996093747, 0.06581475208984375]",[-0.7966986519921875],[0.9230703432112931],"[-0.39466635492187496, 0.08573216896484374]",False,[0.0],10,0.3125
"[-0.39279815250000005, 0.08358603749999997]",[-0.70842474],[0.9218083143234251],"[-0.3784798375, 0.1012966625]",False,[0.0],3,0.11538461538461539
"[-0.37872785, 0.10198545]",[-0.6855626],[0.9121500968933106],"[-0.3614961, 0.11912452999999999]",False,[0.0],1,0.0625
"[-0.343578285, 0.1346171525]",[-0.08528583499999998],[0.8243969917297365],"[-0.3219258075, 0.13674929500000005]",False,[0.0],3,0.3
"[-0.32055223, 0.13819730000000002]",[-0.08395021000000003],[0.8698070526123047],"[-0.2983287, 0.14029610000000003]",False,[0.0],1,0.14285714285714285
"[-0.2973223825000001, 0.14264896500000002]",[0.3069430225000001],[0.8212320327758789],"[-0.2749077875, 0.13497543500000003]",False,[0.0],3,0.6
"[-0.27605873, 0.13697016]",[0.12704697000000006],[0.8828112602233887],"[-0.25431287, 0.13379407]",False,[0.0],1,0.25
"[-0.25268957000000003, 0.133550585]",[0.48480912500000006],[0.8603023529052735],"[-0.23196792500000002, 0.12143033500000003]",False,[0.0],2,0.6666666666666666
"[-0.233013185, 0.12276948937500004]",[0.7612452625000001],[0.8603717505931856],"[-0.21438505125, 0.10373831437499995]",False,[0.0],5,1.0
"[-0.21376303000000002, 0.10523467999999994]",[0.5350394250000001],[0.9856040954589844],"[-0.1976389, 0.09185874500000002]",False,[0.0],2,0.2857142857142857
"[-0.19807214, 0.09343457]",[0.63509525],[0.9952849388122559],"[-0.18396932, 0.07755720999999999]",False,[0.0],1,0.5
"[-0.18558671124999998, 0.07677202124999996]",[0.5474143575000001],[0.9618460655212402],"[-0.1740331124999999, 0.06308670625]",False,[0.0],4,0.8
"[-0.17238097999999993, 0.062168600000000004]",[0.54491837],[1.0533078193664551],"[-0.16316056000000004, 0.0485456]",False,[0.0],1,0.14285714285714285
"[-0.16123634312500004, 0.04465458374999998]",[0.31919907750000015],[1.0810145437717438],"[-0.15451721875000005, 0.03667460374999999]",False,[0.0],5,0.625
"[-0.15628564000000003, 0.03181243]",[0.62126415],[1.1178375244140624],"[-0.15202403000000006, 0.016280890000000003]",False,[0.0],1,0.09090909090909091
"[-0.15202403000000006, 0.016280890000000003]",[0.6630198300000001],[1.1509884834289552],"[-0.15030313000000003, -0.00029469000000000023]",False,[0.0],1,0.2
"[-0.15030313000000003, -0.00029469000000000023]",[0.48525683000000003],[1.175251293182373],"[-0.15099722000000002, -0.01242608]",False,[0.0],1,1.0
"[-0.15099722000000002, -0.01242608]",[0.4280975000000001],[1.1966562271118164],"[-0.15355623000000004, -0.02312851]",False,[0.0],1,1.0
"[-0.15355623000000004, -0.02312851]",[0.3718826800000001],[1.215250301361084],"[-0.15775263000000003, -0.03242558]",False,[0.0],1,1.0
"[-0.15775263000000003, -0.03242558]",[0.29470100000000005],[1.2299854278564455],"[-0.16333365000000002, -0.03979313]",False,[0.0],1,1.0
"[-0.16333365000000002, -0.03979313]",[0.20102864000000006],[1.2400368690490724],"[-0.16996855000000002, -0.04481876]",False,[0.0],1,0.3333333333333333
"[-0.21679163437133792, -0.049049879033203125]",[0.6707551608422853],[1.222337142727338],"[-0.22553394400756835, -0.06581875753051758]",False,[0.0],14,0.7
"[-0.22637738849212646, -0.057628111101379394]",[0.6828242884893798],[1.2571427587128712],"[-0.2365083027581787, -0.0746987438885498]",False,[0.0],16,0.6666666666666666
"[-0.230458975, -0.045980275]",[0.20524431500000012],[1.245843505859375],"[-0.23808953, -0.05111137]",False,[0.0],2,0.06666666666666667
"[-0.23810875, -0.04326534]",[-0.23700851000000003],[1.2250794410705568],"[-0.24471520999999996, -0.03734004]",False,[0.0],1,0.03333333333333333
"[-0.24471520999999996, -0.03734004]",[-0.41099772],[1.2045295715332034],"[-0.25014162, -0.02706516]",False,[0.0],1,0.3333333333333333
"[-0.25014162, -0.02706516]",[-0.36989501],[1.1860347747802737],"[-0.2539788, -0.0178178]",False,[0.0],1,0.09090909090909091
"[-0.2539788, -0.0178178]",[-0.39170272],[1.1664496421813968],"[-0.25630736, -0.008025289999999997]",False,[0.0],1,0.1
